Line, Text, Length, Word, Foot, Half-line
1,"μῆ",long,1,1,hemi1,
1,"νιν",short,1,1,hemi1,
1,"ἄ",short,2,1,hemi1,
1,"ει",long,2,2,hemi1,
1,"δε",short,2,2,hemi1,
1,"θε",short,3,2,hemi1,
1,"ὰ",long,3,3,hemi1,
1,"Πη",long,4,3,hemi2,
1,"λη",long,4,4,hemi2,
1,"ϊ",short,4,4,hemi2,
1,"ά",short,4,4,hemi2,
1,"δεω",long,4,5,hemi2,
1,"Ἀ",short,5,5,hemi2,
1,"χι",short,5,5,hemi2,
1,"λῆ",long,5,6,hemi2,
1,"ος",long,5,6,hemi2,
2,"οὐ",long,1,1,hemi1,
2,"λο",short,1,1,hemi1,
2,"μέ",short,1,1,hemi1,
2,"νην,",long,1,2,hemi1,
2,"ἣ",long,2,2,hemi1,
2,"μυ",long,3,3,hemi1,
2,"ρί’",short,3,3,hemi1,
2,"Ἀ",short,4,3,hemi1,
2,"χαι",long,4,4,hemi1,
2,"οῖς",long,4,4,hemi1,
2,"ἄλ",long,5,5,hemi2,
2,"γε’",short,5,5,hemi2,
2,"ἔ",short,6,5,hemi2,
2,"θη",long,6,6,hemi2,
2,"κε,",long,6,6,hemi2,
3,"πολ",long,1,1,hemi1,
3,"λὰς",long,1,1,hemi1,
3,"δ’ἰφ",long,2,2,hemi1,
3,"θί",long,2,2,hemi1,
3,"μους",long,2,3,hemi1,
3,"ψυ",long,3,3,hemi2,
3,"χὰς",long,3,4,hemi2,
3,"Ἄ",short,4,4,hemi2,
3,"ϊ",short,4,4,hemi2,
3,"δι",long,4,5,hemi2,
3,"προ",short,5,5,hemi2,
3,"ΐ",short,5,5,hemi2,
3,"α",long,5,6,hemi2,
3,"ψεν",long,5,6,hemi2,
4,"ἡ",long,1,1,hemi1,
4,"ρώ",long,1,1,hemi1,
4,"ων,",long,1,2,hemi1,
4,"αὐ",long,2,2,hemi1,
4,"τοὺς",long,2,3,hemi1,
4,"δὲ",short,3,3,hemi1,
4,"ἑ",short,4,3,hemi2,
4,"λώ",long,4,4,hemi2,
4,"ρι",short,4,4,hemi2,
4,"α",short,4,4,hemi2,
4,"τεῦ",long,5,5,hemi2,
4,"χε",short,5,5,hemi2,
4,"κύ",short,6,5,hemi2,
4,"νεσ",long,6,6,hemi2,
4,"σιν",long,6,6,hemi2,
5,"οἰ",long,1,1,hemi1,
5,"ω",long,1,1,hemi1,
5,"νοῖ",long,1,2,hemi1,
5,"σί",short,1,2,hemi1,
5,"τε",short,2,2,hemi1,
5,"πᾶ",long,3,3,hemi1,
5,"σι,",short,3,3,hemi1,
5,"Δι",short,4,3,hemi2,
5,"ὸς",long,4,4,hemi2,
5,"δ’ἐ",short,5,4,hemi2,
5,"τε",short,5,4,hemi2,
5,"λεί",long,5,5,hemi2,
5,"ε",short,5,5,hemi2,
5,"το",short,5,5,hemi2,
5,"βου",long,6,6,hemi2,
5,"λή,",long,6,6,hemi2,
6,"ἐξ",long,1,1,hemi1,
6,"οὗ",long,2,1,hemi1,
6,"δὴ",long,3,2,hemi1,
6,"τὰ",long,4,2,hemi1,
6,"πρῶ",long,5,3,hemi1,
6,"τα",short,5,3,hemi1,
6,"δι",short,6,3,hemi2,
6,"α",long,6,4,hemi2,
6,"στή",long,6,4,hemi2,
6,"την",long,6,5,hemi2,
6,"ἐ",short,7,5,hemi2,
6,"ρί",short,7,5,hemi2,
6,"σαν",long,7,6,hemi2,
6,"τε",long,7,6,hemi2,
7,"Ἀ",long,1,1,hemi1,
7,"τρε",short,1,1,hemi1,
7,"ΐ",short,1,1,hemi1,
7,"δης",long,1,2,hemi1,
7,"τε",short,2,2,hemi1,
7,"ἄ",short,3,2,hemi1,
7,"ναξ",long,3,3,hemi1,
7,"ἀν",long,4,3,hemi1,
7,"δρῶν",long,4,4,hemi1,
7,"καὶ",long,5,4,hemi2,
7,"δῖ",long,6,5,hemi2,
7,"ος",short,6,5,hemi2,
7,"Ἀ",short,7,5,hemi2,
7,"χιλ",long,7,6,hemi2,
7,"λεύς.",long,7,6,hemi2,
8,"τίς",long,1,1,hemi1,
8,"τ’ἄρ",long,2,1,hemi1,
8,"σφω",long,3,2,hemi1,
8,"ε",short,3,2,hemi1,
8,"θε",short,4,2,hemi1,
8,"ῶν",long,4,3,hemi1,
8,"ἔ",short,5,3,hemi2,
8,"ρι",short,5,3,hemi2,
8,"δι",long,5,4,hemi2,
8,"ξυ",short,6,4,hemi2,
8,"νέ",short,6,4,hemi2,
8,"η",long,6,5,hemi2,
8,"κε",short,6,5,hemi2,
8,"μά",short,7,5,hemi2,
8,"χεσ",long,7,6,hemi2,
8,"θαι;",long,7,6,hemi2,
9,"Λη",long,1,1,hemi1,
9,"τοῦς",long,1,1,hemi1,
9,"καὶ",long,2,2,hemi1,
9,"Δι",short,3,2,hemi1,
9,"ὸς",short,3,2,hemi1,
9,"υἱ",long,4,3,hemi1,
9,"ός·",short,4,3,hemi1,
9,"ὃ",short,5,3,hemi2,
9,"γὰρ",long,6,4,hemi2,
