51 2 0 | Il.24.339-Il.24.345 Od.5.43-Od.5.49 | ὣς ἔφατʼ οὐδʼ ἀπίθησε διάκτορος ἀργεϊφόντης αὐτίκʼ ἔπειθʼ ὑπὸ ποσσὶν ἐδήσατο καλὰ πέδιλα ἀμβρόσια χρύσεια τά μιν φέρον ἠμὲν ἐφʼ ὑγρὴν ἠδʼ ἐπʼ ἀπείρονα γαῖαν ἅμα πνοιῇς ἀνέμοιο εἵλετο δὲ ῥάβδον τῇ τʼ ἀνδρῶν ὄμματα θέλγει ὧν ἐθέλει τοὺς δʼ αὖτε καὶ ὑπνώοντας ἐγείρει τὴν μετὰ χερσὶν ἔχων πέτετο κρατὺς ἀργεϊφόντης
31 2 0 | Il.1.460-Il.1.464 Od.3.457-Od.3.461 | κατά τε κνίσῃ ἐκάλυψαν δίπτυχα ποιήσαντες ἐπʼ αὐτῶν δʼ ὠμοθέτησαν καῖε δʼ ἐπὶ σχίζῃς ὁ γέρων ἐπὶ δʼ αἴθοπα οἶνον λεῖβε νέοι δὲ παρʼ αὐτὸν ἔχον πεμπώβολα χερσίν αὐτὰρ ἐπεὶ κατὰ
24 2 0 | Il.10.292-Il.10.295 Od.3.382-Od.3.385 | σοὶ δʼ αὖ ἐγὼ ῥέξω βοῦν ἦνιν εὐρυμέτωπον ἀδμήτην ἣν οὔ πω ὑπὸ ζυγὸν ἤγαγεν ἀνήρ τήν τοι ἐγὼ ῥέξω χρυσὸν κέρασιν περιχεύας ὣς
24 2 0 | Il.18.425-Il.18.427 Od.5.88-Od.5.90 | τε; πάρος γε μὲν οὔ τι θαμίζεις αὔδα ὅ τι φρονέεις τελέσαι δέ με θυμὸς ἄνωγεν εἰ δύναμαι τελέσαι γε καὶ εἰ τετελεσμένον ἐστίν
20 3 2 | Il.1.467-Il.1.469 Il.2.430-Il.2.432 Od.16.478-Od.16.480 | παύσαντο πόνου τετύκοντό τε δαῖτα δαίνυντʼ οὐδέ τι θυμὸς ἐδεύετο δαιτὸς ἐΐσης αὐτὰρ ἐπεὶ πόσιος καὶ ἐδητύος ἐξ ἔρον ἕντο
20 2 0 | Il.15.479-Il.15.482 Od.22.122-Od.22.125 | ἀμφʼ ὤμοισι σάκος θέτο τετραθέλυμνον κρατὶ δʼ ἐπʼ ἰφθίμῳ κυνέην εὔτυκτον ἔθηκεν ἵππουριν δεινὸν δὲ λόφος καθύπερθεν ἔνευεν εἵλετο δʼ
19 3 2 | Il.24.644-Il.24.646 Od.4.297-Od.4.299 Od.7.336-Od.7.338 | δέμνιʼ ὑπʼ αἰθούσῃ θέμεναι καὶ ῥήγεα καλὰ πορφύρεʼ ἐμβαλέειν στορέσαι τʼ ἐφύπερθε τάπητας χλαίνας τʼ ἐνθέμεναι οὔλας καθύπερθεν ἕσασθαι
18 3 0 | Il.6.490-Il.6.492 Od.1.356-Od.1.358 Od.21.350-Od.21.352 | ἀλλʼ εἰς οἶκον ἰοῦσα τὰ σʼ αὐτῆς ἔργα κόμιζε ἱστόν τʼ ἠλακάτην τε καὶ ἀμφιπόλοισι κέλευε ἔργον ἐποίχεσθαι
17 2 0 | Il.1.435-Il.1.437 Od.15.497-Od.15.499 | ἐρετμοῖς ἐκ δʼ εὐνὰς ἔβαλον κατὰ δὲ πρυμνήσιʼ ἔδησαν ἐκ δὲ καὶ αὐτοὶ βαῖνον ἐπὶ ῥηγμῖνι θαλάσσης
17 3 2 | Il.1.459-Il.1.461 Il.2.422-Il.2.424 Od.12.359-Od.12.361 | καὶ ἔσφαξαν καὶ ἔδειραν μηρούς τʼ ἐξέταμον κατά τε κνίσῃ ἐκάλυψαν δίπτυχα ποιήσαντες ἐπʼ αὐτῶν δʼ ὠμοθέτησαν
17 2 0 | Il.9.174-Il.9.176 Od.21.270-Od.21.272 | κήρυκες μὲν ὕδωρ ἐπὶ χεῖρας ἔχευαν κοῦροι δὲ κρητῆρας ἐπεστέψαντο ποτοῖο νώμησαν δʼ ἄρα πᾶσιν ἐπαρξάμενοι δεπάεσσιν
17 3 2 | Il.14.195-Il.14.196 Il.18.426-Il.18.427 Od.5.89-Od.5.90 | αὔδα ὅ τι φρονέεις τελέσαι δέ με θυμὸς ἄνωγεν εἰ δύναμαι τελέσαι γε καὶ εἰ τετελεσμένον ἐστίν
17 2 0 | Il.16.137-Il.16.139 Od.22.123-Od.22.125 | κρατὶ δʼ ἐπʼ ἰφθίμῳ κυνέην εὔτυκτον ἔθηκεν ἵππουριν δεινὸν δὲ λόφος καθύπερθεν ἔνευεν εἵλετο δʼ ἄλκιμα δοῦρε
17 2 0 | Il.17.695-Il.17.696 Od.4.704-Od.4.705 | δὴν δέ μιν ἀμφασίη ἐπέων λάβε τὼ δέ οἱ ὄσσε δακρυόφι πλῆσθεν θαλερὴ δέ οἱ ἔσχετο φωνή
17 2 0 | Il.18.22-Il.18.24 Od.24.315-Od.24.317 | ὣς φάτο τὸν δʼ ἄχεος νεφέλη ἐκάλυψε μέλαινα ἀμφοτέρῃσι δὲ χερσὶν ἑλὼν κόνιν αἰθαλόεσσαν χεύατο κὰκ κεφαλῆς
16 2 0 | Il.7.316-Il.7.317 Od.19.421-Od.19.422 | τὸν δέρον ἀμφί θʼ ἕπον καί μιν διέχευαν ἅπαντα μίστυλλόν τʼ ἄρʼ ἐπισταμένως πεῖράν τʼ ὀβελοῖσιν
16 2 0 | Il.15.36-Il.15.38 Od.5.184-Od.5.186 | εὐρὺς ὕπερθε καὶ τὸ κατειβόμενον Στυγὸς ὕδωρ ὅς τε μέγιστος ὅρκος δεινότατός τε πέλει μακάρεσσι θεοῖσι
16 2 0 | Il.18.487-Il.18.489 Od.5.273-Od.5.275 | ἐπίκλησιν καλέουσιν ἥ τʼ αὐτοῦ στρέφεται καί τʼ Ὠρίωνα δοκεύει οἴη δʼ ἄμμορός ἐστι λοετρῶν Ὠκεανοῖο
15 4 3 | Il.1.468-Il.1.469 Il.2.431-Il.2.432 Il.23.56-Il.23.57 Od.16.479-Od.16.480 | δαίνυντʼ οὐδέ τι θυμὸς ἐδεύετο δαιτὸς ἐΐσης αὐτὰρ ἐπεὶ πόσιος καὶ ἐδητύος ἐξ ἔρον ἕντο
15 2 0 | Il.1.601-Il.1.602 Od.19.424-Od.19.425 | ὣς τότε μὲν πρόπαν ἦμαρ ἐς ἠέλιον καταδύντα δαίνυντʼ οὐδέ τι θυμὸς ἐδεύετο δαιτὸς ἐΐσης
15 2 0 | Il.2.432-Il.2.433 Od.3.67-Od.3.68 | αὐτὰρ ἐπεὶ πόσιος καὶ ἐδητύος ἐξ ἔρον ἕντο τοῖς ἄρα μύθων ἦρχε Γερήνιος ἱππότα Νέστωρ
14 2 0 | Il.6.294-Il.6.295 Od.15.107-Od.15.108 | ὃς κάλλιστος ἔην ποικίλμασιν ἠδὲ μέγιστος ἀστὴρ δʼ ὣς ἀπέλαμπεν ἔκειτο δὲ νείατος ἄλλων
13 2 0 | Il.11.42-Il.11.43 Od.22.124-Od.22.125 | ἵππουριν δεινὸν δὲ λόφος καθύπερθεν ἔνευεν εἵλετο δʼ ἄλκιμα δοῦρε δύω κεκορυθμένα χαλκῷ
13 2 0 | Il.13.785-Il.13.786 Od.23.127-Od.23.128 | ἡμεῖς δʼ ἐμμεμαῶτες ἅμʼ ἑψόμεθʼ οὐδέ τί φημι ἀλκῆς δευήσεσθαι ὅση δύναμίς γε
12 2 0 | Il.1.103-Il.1.104 Od.4.661-Od.4.662 | ἀχνύμενος μένεος δὲ μέγα φρένες ἀμφιμέλαιναι πίμπλαντʼ ὄσσε δέ οἱ πυρὶ λαμπετόωντι
12 2 0 | Il.4.39-Il.4.40 Od.16.281-Od.16.282 | ἄλλο δέ τοι ἐρέω σὺ δʼ ἐνὶ φρεσὶ βάλλεο σῇσιν ὁππότε κεν
12 2 0 | Il.5.365-Il.5.366 Od.3.483-Od.3.484 | καὶ ἡνία λάζετο χερσί μάστιξεν δʼ ἐλάαν τὼ δʼ οὐκ ἀέκοντε πετέσθην
12 6 4 | Il.6.253-Il.6.253 Il.6.406-Il.6.406 Il.18.384-Il.18.384 Il.18.423-Il.18.423 Il.19.7-Il.19.7 Od.15.530-Od.15.530 | ἔν τʼ ἄρα οἱ φῦ χειρὶ ἔπος τʼ ἔφατʼ ἔκ τʼ ὀνόμαζε
12 2 0 | Il.8.390-Il.8.391 Od.1.100-Od.1.101 | βριθὺ μέγα στιβαρόν τῷ δάμνησι στίχας ἀνδρῶν ἡρώων τοῖσίν τε κοτέσσεται ὀβριμοπάτρη
12 2 0 | Il.18.5-Il.18.6 Od.5.464-Od.5.465 | ὀχθήσας δʼ ἄρα εἶπε πρὸς ὃν μεγαλήτορα θυμόν ὤ μοι ἐγώ τί
12 2 0 | Il.24.587-Il.24.588 Od.8.454-Od.8.455 | τὸν δʼ ἐπεὶ οὖν δμῳαὶ λοῦσαν καὶ χρῖσαν ἐλαίῳ ἀμφὶ δέ μιν
11 2 0 | Il.1.481-Il.1.482 Od.2.427-Od.2.428 | μέσον ἱστίον ἀμφὶ δὲ κῦμα στείρῃ πορφύρεον μεγάλʼ ἴαχε νηὸς ἰούσης
11 3 0 | Il.5.259-Il.5.260 Il.16.444-Il.16.445 Od.17.548-Od.17.549 | ἄλλο δέ τοι ἐρέω σὺ δʼ ἐνὶ φρεσὶ βάλλεο σῇσιν αἴ
11 7 6 | Il.6.253-Il.6.253 Il.6.406-Il.6.406 Il.14.232-Il.14.232 Il.18.384-Il.18.384 Il.18.423-Il.18.423 Il.19.7-Il.19.7 Od.15.530-Od.15.530 | ἔν τʼ ἄρα οἱ φῦ χειρὶ ἔπος τʼ ἔφατʼ ἔκ τʼ
11 2 0 | Il.11.403-Il.11.404 Od.5.298-Od.5.299 | ὀχθήσας δʼ ἄρα εἶπε πρὸς ὃν μεγαλήτορα θυμόν ὤ μοι ἐγὼ
11 2 0 | Il.15.397-Il.15.398 Od.13.198-Od.13.199 | ἔπειτα καὶ ὣ πεπλήγετο μηρὼ χερσὶ καταπρηνέσσʼ ὀλοφυρόμενος δʼ ἔπος ηὔδα
11 4 2 | Il.17.695-Il.17.696 Il.23.396-Il.23.397 Od.4.704-Od.4.705 Od.19.471-Od.19.472 | τὼ δέ οἱ ὄσσε δακρυόφι πλῆσθεν θαλερὴ δέ οἱ ἔσχετο φωνή
11 3 2 | Il.18.5-Il.18.6 Od.5.355-Od.5.356 Od.5.464-Od.5.465 | ὀχθήσας δʼ ἄρα εἶπε πρὸς ὃν μεγαλήτορα θυμόν ὤ μοι ἐγώ
11 2 0 | Il.23.68-Il.23.69 Od.4.803-Od.4.804 | στῆ δʼ ἄρʼ ὑπὲρ κεφαλῆς καί μιν πρὸς μῦθον ἔειπεν εὕδεις
10 6 5 | Il.1.68-Il.1.68 Il.1.101-Il.1.101 Il.2.76-Il.2.76 Il.7.354-Il.7.354 Il.7.365-Il.7.365 Od.2.224-Od.2.224 | ὅ γʼ ὣς εἰπὼν κατʼ ἄρʼ ἕζετο τοῖσι δʼ ἀνέστη
10 2 0 | Il.1.575-Il.1.576 Od.18.403-Od.18.404 | οὐδέ τι δαιτὸς ἐσθλῆς ἔσσεται ἦδος ἐπεὶ τὰ χερείονα νικᾷ
10 11 5 | Il.4.39-Il.4.39 Il.5.259-Il.5.259 Il.16.444-Il.16.444 Il.16.851-Il.16.851 Od.11.454-Od.11.454 Od.16.281-Od.16.281 Od.16.299-Od.16.299 Od.17.548-Od.17.548 Od.19.236-Od.19.236 Od.19.495-Od.19.495 Od.19.570-Od.19.570 | ἄλλο δέ τοι ἐρέω σὺ δʼ ἐνὶ φρεσὶ βάλλεο σῇσιν
10 3 2 | Il.4.163-Il.4.163 Il.6.447-Il.6.447 Od.15.211-Od.15.211 | εὖ γὰρ ἐγὼ τόδε οἶδα κατὰ φρένα καὶ κατὰ θυμόν
10 3 0 | Il.5.201-Il.5.201 Il.22.103-Il.22.103 Od.9.228-Od.9.228 | ἀλλʼ ἐγὼ οὐ πιθόμην ἦ τʼ ἂν πολὺ κέρδιον ἦεν
10 2 0 | Il.7.28-Il.7.28 Od.20.381-Od.20.381 | ἀλλʼ εἴ μοί τι πίθοιο τό κεν πολὺ κέρδιον εἴη
10 2 0 | Il.7.268-Il.7.269 Od.9.537-Od.9.538 | πολὺ μείζονα λᾶαν ἀείρας ἧκʼ ἐπιδινήσας ἐπέρεισε δὲ ἶνʼ ἀπέλεθρον
10 2 0 | Il.7.369-Il.7.370 Od.7.187-Od.7.188 | ὄφρʼ εἴπω τά με θυμὸς ἐνὶ στήθεσσι κελεύει νῦν μὲν
10 3 2 | Il.7.398-Il.7.399 Od.7.154-Od.7.155 Od.20.320-Od.20.321 | δʼ ἄρα πάντες ἀκὴν ἐγένοντο σιωπῇ ὀψὲ δὲ δὴ μετέειπε
10 2 0 | Il.7.421-Il.7.422 Od.19.433-Od.19.434 | Ἠέλιος μὲν ἔπειτα νέον προσέβαλλεν ἀρούρας ἐξ ἀκαλαρρείταο βαθυρρόου Ὠκεανοῖο
10 2 0 | Il.9.176-Il.9.177 Od.7.183-Od.7.184 | δεπάεσσιν αὐτὰρ ἐπεὶ σπεῖσάν τʼ ἔπιόν θʼ ὅσον ἤθελε θυμός
10 2 0 | Il.11.678-Il.11.679 Od.14.100-Od.14.101 | τόσα πώεα οἰῶν τόσσα συῶν συβόσια τόσʼ αἰπόλια πλατέʼ αἰγῶν
10 3 0 | Il.16.469-Il.16.469 Od.10.163-Od.10.163 Od.19.454-Od.19.454 | κὰδ δʼ ἔπεσʼ ἐν κονίῃσι μακών ἀπὸ δʼ ἔπτατο θυμός
10 2 0 | Il.17.179-Il.17.179 Od.22.233-Od.22.233 | ἀλλʼ ἄγε δεῦρο πέπον παρʼ ἔμʼ ἵστασο καὶ ἴδε ἔργον
10 2 0 | Il.18.348-Il.18.349 Od.10.359-Od.10.360 | δʼ ὕδωρ αὐτὰρ ἐπεὶ δὴ ζέσσεν ὕδωρ ἐνὶ ἤνοπι χαλκῷ
10 3 2 | Il.18.389-Il.18.390 Od.10.314-Od.10.315 Od.10.366-Od.10.367 | ἐπὶ θρόνου ἀργυροήλου καλοῦ δαιδαλέου ὑπὸ δὲ θρῆνυς ποσὶν ἦεν
10 2 0 | Il.20.318-Il.20.319 Od.13.159-Od.13.160 | αὐτὰρ ἐπεὶ τό γʼ ἄκουσε Ποσειδάων ἐνοσίχθων βῆ ῥʼ ἴμεν
10 2 0 | Il.20.466-Il.20.467 Od.3.146-Od.3.147 | νήπιος οὐδὲ τὸ ᾔδη ὃ οὐ πείσεσθαι ἔμελλεν οὐ γάρ
10 2 0 | Il.21.114-Il.21.114 Od.24.345-Od.24.345 | ὣς φάτο τοῦ δʼ αὐτοῦ λύτο γούνατα καὶ φίλον ἦτορ
10 5 2 | Il.23.68-Il.23.68 Il.24.682-Il.24.682 Od.4.803-Od.4.803 Od.6.21-Od.6.21 Od.23.4-Od.23.4 | στῆ δʼ ἄρʼ ὑπὲρ κεφαλῆς καί μιν πρὸς μῦθον ἔειπεν
10 2 0 | Il.24.230-Il.24.231 Od.24.276-Od.24.277 | δώδεκα δʼ ἁπλοΐδας χλαίνας τόσσους δὲ τάπητας τόσσα δὲ φάρεα
10 2 0 | Il.24.507-Il.24.507 Od.4.113-Od.4.113 | ὣς φάτο τῷ δʼ ἄρα πατρὸς ὑφʼ ἵμερον ὦρσε γόοιο
9 3 2 | Il.1.470-Il.1.471 Il.9.175-Il.9.176 Od.21.271-Od.21.272 | κρητῆρας ἐπεστέψαντο ποτοῖο νώμησαν δʼ ἄρα πᾶσιν ἐπαρξάμενοι δεπάεσσιν
